OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327083"",""20-577"")",Division of Chemistry: Disciplinary Research Programs,NSF,National Science Foundation,150000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/15/2020,09/30/2020,05/15/2020 01:00:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327089"",""S20AS00009"")",Mine Drainage Technology Initiative (MDTI) Cooperative Agreement Program,DOI-OSM,Office of Surface Mining,200000,1,"Yetunde Richardson
Grants Management Specialist
Phone 202-208-2766",,yrichardson@osmre.gov,,,05/15/2020,07/15/2020,05/15/2020 12:10:15,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327088"",""BOR-LC-20-N009"")",Notice of Intent to Award to Colorado Parks and Wildlife,DOI-BOR,Bureau of Reclamation,,1,"Sharon Opfermann
Grantor
Phone 702-293-8449",,sopfermann@usbr.gov,,,05/15/2020,05/29/2020,05/15/2020 11:12:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327110"",""BOR-UC-20-N004"")",Curation of BOR-Owned Collections - MIAC,DOI-BOR,Bureau of Reclamation,155309,1,"Glen Josephson
Grants Management Specialist
Phone 801 524 3756",,gjosephson@usbr.gov,,,05/15/2020,05/29/2020,05/15/2020 13:14:15,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327090"",""RFA-DK-20-503"")",Limited Competition: Continued Follow-up of Subjects and Initiation of a Second Case-control Cohort in The Environmental Determinants of Diabetes in The Young Study (TEDDY) (U01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/15/2020,08/13/2020,05/15/2020 13:04:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327091"",""20CS13"")",Community Supervision Report Card in the Iowa Department of Corrections,USDOJ-BOP-NIC,National Institute of Corrections,50000,1,"Cameron D Coblentz
Grantor
Phone 202-514-0053",,ccoblentz@bop.gov,,,05/15/2020,06/01/2020,05/15/2020 13:50:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327086"",""20CS11"")",NIC EBP Publicatins Revision,USDOJ-BOP-NIC,National Institute of Corrections,90000,1,"Cameron D Coblentz
Grantor
Phone 202-514-0053",,ccoblentz@bop.gov,,,05/15/2020,07/14/2020,05/15/2020 10:12:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326903"",""EPA-OLEM-ORCR-20-02"")",SUPPORTING ANAEROBIC DIGESTION IN COMMUNITIES,EPA,Environmental Protection Agency,3000000,40,"Chris Carusiello, U.S. EPA, Office of Resource Conservation and Recovery (MC 5306P), 1200
Pennsylvania Avenue, NW, Washington, DC 20460; Phone: 703-308-8757; or e-mail:
Carusiello.Chris@epa.gov",,Chris Carusiello,,,05/15/2020,07/14/2020,05/15/2020 15:16:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327115"",""VA-HRTG-NEW-2020"")",Grants for Transportation of Veterans in Highly Rural Areas,VA-CBO,VHA Member Services,200000,,HRTG Coordinator,,HRTG@va.gov,,,05/15/2020,07/17/2020,05/15/2020 17:51:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327113"",""USDA-NRCS-NM-CTA-20-NOFO0001015"")",New Mexico Conservation Funding Announcement,USDA-NRCS,Natural Resources Conservation Service,100000,5,"Alicia J Simon
grants management specialist
Phone 2027726037",,alicia.simon@usda.gov,,,05/15/2020,07/15/2020,05/15/2020 16:01:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327111"",""PAS-CMR-FY20-04"")",Celebrating Excellence in Journalism,DOS-CMR,U.S. Mission to Cameroon,25000,1,"Leanne Cannon
Grantor
Phone 237 222201500",,cannonlr@state.gov,,,05/15/2020,06/15/2020,05/15/2020 15:08:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327133"",""DE-FOA-0002322"")",FY2020 AMO Critical Materials FOA: Next-Generation Technologies and Field Validation,DOE-GFO,Golden Field Office,30000000,10,FY20AMOCriticalMaterialsFOA@ee.doe.gov,,FY20AMOCriticalMaterialsFOA@ee.doe.gov,,,05/15/2020,08/11/2020,05/15/2020 18:41:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327092"",""FR-6400-N-59"")",Estimating the Prevalence and Probability of Homeless Youth,HUD,Department of Housing and Urban Development,2000000,5,"Ophelia Wilson
Ophelia.Wilson@hud.gov",,Ophelia.Wilson@hud.gov,,,05/15/2020,07/01/2020,05/15/2020 14:46:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327114"",""SFOP0006950"")",2020 The TIP Office Notification of Funding Opportunity for Program to End Modern Slavery (PEMS),DOS-GTIP,Office to Monitor-Combat Trafficking in Persons,,2,JTIPGrants@state.gov,,,,,05/15/2020,06/29/2020,05/15/2020 16:18:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327052"",""2020-NIST-PSIAP-TABA-01"")",NIST Public Safety Innovation Accelerator Program (PSIAP) – Follow-on Funding for Technical and Business Assistance and Demonstration Projects with Public Safety Agencies,DOC-NIST,National Institute of Standards and Technology,,,"Christopher Hunton
NOFO Coordinator
Phone 301-975-5718",,grants@nist.gov,,,05/14/2020,,05/14/2020 10:35:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326194"",""RFA-HS-20-003"")","Novel, High-Impact Studies Evaluating Health System and Healthcare Professional Responsiveness to COVID-19 (R01)",HHS-AHRQ,Agency for Health Care Research and Quality,,,"Kathryn Marron, Ph.D. Receipt and Referral Officer Agency for Healthcare Research and Quality, HHS  Office: (301) 427-1554 Email: Kathryn.Marron@ahrq.hhs.gov
Kathryn.Marron@ahrq.hhs.gov",,Kathryn.Marron@ahrq.hhs.gov,,,05/14/2020,06/15/2020,05/14/2020 13:52:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327076"",""BOR-CGB-20-N012"")",Producing Novel Genome-Level Resources for Vernal Pool Crustaceans of Conservation Concern in California,DOI-BOR,Bureau of Reclamation,,14,tmosley@usbr.gov,,tmosley@usbr.gov,,,05/14/2020,05/28/2020,05/14/2020 14:32:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327094"",""P20AS00069"")",Population Analysis of Big Cypress National Preserve White-tailed Deer Herds.,DOI-NPS,National Park Service,140000,1,"Emmett Collin Johnson
NPS Agreements Specialist",,emmett_johnson@nps.gov,,,05/14/2020,,05/14/2020 11:55:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327073"",""NNH20ZDA001N-PIONEERS"")",ROSES 2020: Astrophysics Pioneers,NASA-HQ,NASA Headquarters,,,"Michael Garcia
Astrophysics Division 
NASA Headquarters
Washington, DC 20546-0001
     Telephone: (202) 358-1053
     Email: michael.r.garcia@nasa.gov",,michael.r.garcia@nasa.gov,,,05/14/2020,06/15/2020,05/14/2020 11:23:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324274"",""HHS-2020-ACF-ANA-NN-1837"")",Social and Economic Development Strategies - Growing Organizations (GO),HHS-ACF-ANA,Administration for Children and Families - ANA,1000000,5,"ACF Applications Help Desk
app_support@acf.hhs.gov",,app_support@acf.hhs.gov,,,05/14/2020,07/13/2020,05/14/2020 11:09:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327096"",""PAR-20-210"")",NIAID Physician-Scientist Pathway to Independence Award (K99/R00 Independent Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/14/2020,01/07/2023,05/14/2020 12:49:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327074"",""PAR-20-209"")",NIAID Physician-Scientist Pathway to Independence Award (K99/R00 Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/14/2020,01/07/2023,05/14/2020 12:57:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327046"",""20-536"")",Division of Integrative Organismal Systems Core Programs,NSF,National Science Foundation,60000000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/14/2020,,05/14/2020 01:00:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327048"",""20-575"")",Joint DMS/NIGMS Initiative to Support Research at the Interface of the Biological and Mathematical Sciences,NSF,National Science Foundation,5000000,25,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/14/2020,09/18/2020,05/14/2020 01:00:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327047"",""20-576"")",Plant Biotic Interactions,NSF,National Science Foundation,18500000,30,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,05/14/2020,,05/14/2020 01:00:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327079"",""USDA-FAS-10-608-0700-20-1"")",UNITED STATES DEPARTMENT OF AGRICULTURE MCGOVERN-DOLE INTERNATIONAL FOOD FOR EDUCATION AND CHILD NUTRITION PROGRAM Notice of Funding Opportunity,USDA-FAS-GP-10608,McGovern-Dole Food for Education 10.608,218000000,11,"Eric Bozoian
Grants Management Specialist
Phone 2023781054",,eric.bozoian@fas.usda.gov,,,05/14/2020,07/14/2020,05/14/2020 16:42:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327101"",""720FDA20RFA00004"")",Local Capacity Strengthening for Response (LCS4R),USAID,Agency for International Development,10000000,3,LCS4R_RFA@ofda.gov,,LCS4R_RFA@ofda.gov,,,05/14/2020,,05/14/2020 19:32:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327078"",""AFMC-OL-H-FOA-2020-1"")","STARBASE Hill Academy, Hill AFB, Utah",DOD-AFMC,Air Force -- Materiel Command,5200000,4,"Florence Taplin
Grantor
Phone 801-586-3953 or 210-487-0632",,florence.taplin.1@us.af.mil,,,05/14/2020,06/18/2020,05/14/2020 17:38:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327099"",""SFOP0006949"")",Building Capacity to Counter Illegal Mining,DOS-INL,Bureau of International Narcotics-Law Enforcement,,1,Najar Washington,,washingtonnd@state.gov,,,05/14/2020,07/14/2020,05/14/2020 15:19:14,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327075"",""L20AS00091"")",FY2020 Nevada Forests and Woodlands Resources Management,DOI-BLM,Bureau of Land Management,500000,3,"Grants Management Officer Lisa Nicholson (775) 861-6485
lnicholson@blm.gov",,lnicholson@blm.gov,,,05/14/2020,07/13/2020,05/14/2020 13:33:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327077"",""SFOP0006943"")",Gender-Based Violence Prevention for Ecuador’s Education System,DOS-WHA,Bureau of Western Hemisphere Affairs,641975,1,WHAGrants@state.gov,,,,,05/14/2020,06/30/2020,05/14/2020 15:58:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326997"",""DE-FOA-0002271"")",Advanced Reactor Demonstration,DOE-ID,Idaho Field Office,,,"Andrew J Ford
Grantor
Phone 208-526-3059",,fordaj@id.doe.gov,,,05/14/2020,08/12/2020,05/14/2020 09:48:14,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327100"",""USDA-FAS-10-606-0700-20-01"")",UNITED STATES DEPARTMENT OF AGRICULTURE FOOD FOR PROGRESS PROGRAM Notice of Funding Opportunity,USDA-FAS-GP-10606,Food for Progress 10.606,190000000,5,"Eric Bozoian
Grants Management Specialist
Phone 2023781054",,eric.bozoian@fas.usda.gov,,,05/14/2020,07/14/2020,05/14/2020 17:14:14,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327057"",""SRB10020FO004"")",Embassy Belgrade -  Annual Program Statement (Public Diplomacy Small Grants),DOS-SRB,U.S. Mission to Serbia,350000,35,"Tatjana Bakraclic
Grantor
Phone 381117064263",,bakraclict@state.gov,,,05/14/2020,08/31/2020,05/15/2020 17:01:15,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327028"",""PAS-SINGAPORE-FY20-003"")",U.S. Embassy Singapore - Annual Program Statement,DOS-SGP,U.S. Mission to Singapore,250000,,"U.S. Embassy Singapore
Public Affairs Section",,SingaporePASCultural@state.gov,,,05/13/2020,09/04/2020,05/13/2020 05:24:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327042"",""72066020APS00002"")",Foundational Literacy for Improved Educational Resilience (FLIER),USAID-DEM,Democratic Republic of the Congo USAID-Kinshasa,38000000,,"Malu Boyenge
A and A Specialist
Phone 00243817074693",,mboyenge@usaid.gov,,,05/13/2020,05/11/2021,05/13/2020 11:12:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327034"",""DHS-20-MT-041-02-01"")",Fiscal Year (FY) 2020 National Dam Safety Program (NDSP) - Region 2,DHS-DHS,Department of Homeland Security - FEMA,289543,3,"Alan Springett, Senior Engineer 
26 Federal Plaza, Room 1337 
New York, NY 10278 
Alan.Springett@fema.dhs.gov 
212-680-8557 Work",,Alan.Springett@fema.dhs.gov,,,05/13/2020,06/15/2020,05/13/2020 11:13:13,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327039"",""DHS-20-MT-041-08-01"")",Fiscal Year (FY) 2020 National Dam Safety Program (NDSP) - Region 8,DHS-DHS,Department of Homeland Security - FEMA,885878,6,"Brooke Conner, Senior Engineer 
Denver Federal Center, Building710A 
Denver, CO 80225-0267
Brooke.Conner@fema.dhs.gov 
303-235-4872 Work
303-519-9193 Cell",,Brooke.Conner@fema.dhs.gov,,,05/13/2020,06/15/2020,05/13/2020 11:47:13,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327036"",""DHS-20-MT-041-05-01"")",Fiscal Year (FY) 2020 National Dam Safety Program (NDSP) - Region 5,DHS-DHS,Department of Homeland Security - FEMA,642912,6,"Duane Castaldi  
Risk Analysis Branch Chief 
536 South Clark Street
Chicago, IL 60605
Duane.Castaldi@fema.dhs.gov             
(312) 408-5361 Work",,Duane.Castaldi@fema.dhs.gov,,,05/13/2020,06/15/2020,05/13/2020 11:26:13,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327038"",""DHS-20-MT-041-07-01"")",Fiscal Year (FY) 2020 National Dam Safety Program (NDSP) - Region 7,DHS-DHS,Department of Homeland Security - FEMA,805881,4,"Dawn Livingston, Risk Analyst
11224 Holmes Road
Kansas City, MO 64131
Dawn.Livingston@fema.dhs.gov
816-283-7563 Work",,Dawn.Livingston@fema.dhs.gov,,,05/13/2020,06/15/2020,05/13/2020 11:36:13,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327007"",""DHS-20-MT-041-04-01"")",Fiscal Year (FY) 2020 National Dam Safety Program (NDSP) - Region 4,DHS-DHS,Department of Homeland Security - FEMA,1135670,7,"Katy Goolsby-Brown, Mitigation 
3003 Chamblee-Tucker Rd.
Atlanta, GA 30341
Katy.Goolsby-Brown@fema.dhs.gov 
770-220-8811 Work
678-218-2110 Work 2",,Katy.Goolsby-Brown@fema.dhs.gov,,,05/13/2020,06/15/2020,05/13/2020 11:22:13,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327043"",""PAS-PODGORICA-FY20-0006"")",2020 Media Professionalization Assistance Program,DOS-MNE,U.S. Mission to Montenegro,300000,10,"Milena Janketic
Grantor
Phone 0038267613910",,janketicm2@state.gov,,,05/13/2020,06/10/2020,05/13/2020 11:22:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327035"",""DHS-20-MT-041-01-01"")",Fiscal Year (FY) 2020 National Dam Safety Program (NDSP) - Region 1,DHS-DHS,Department of Homeland Security - FEMA,473074,6,"John Grace, Engineer 
99 High St.
Boston, MA 02110 
John.Grace@fema.dhs.gov 
617-832-4715 Work
857.205.2839 Mobile",,John.Grace@fema.dhs.gov,,,05/13/2020,06/15/2020,05/13/2020 11:09:13,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327037"",""DHS-20-MT-041-06-01"")",Fiscal Year (FY) 2020 National Dam Safety Program (NDSP) - Region 6,DHS-DHS,Department of Homeland Security - FEMA,845201,5,"Bart Moore, Risk Analysis Lead 
800 North Loop 288
Denton, TX 76209 
Bart.Moore@fema.dhs.gov 
(940) 898-5363",,Bart.Moore@fema.dhs.gov,,,05/13/2020,06/15/2020,05/13/2020 11:31:13,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327056"",""BOR-LC-20-N013"")",Notice of Intent to Award to ITCA,DOI-BOR,Bureau of Reclamation,,1,"Nathalie C Washington
Grants Management Specialist
Phone 7022938436",,nwashington@usbr.gov,,,05/13/2020,05/27/2020,05/13/2020 20:20:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327055"",""20CACFP"")",20CACFP,USDA-FNS1,Food and Nutrition Service,253600,1,Grant Officer,,carla.garcia@fns.usda.gov,,,05/13/2020,05/22/2020,05/13/2020 16:14:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327054"",""SFOP0006940"")",Capacity Building for GBV Survivor Support Service Providers In Latin America and the Caribbean,DOS-WHA,Bureau of Western Hemisphere Affairs,888888,1,WHAGrants@state.gov,,,,,05/13/2020,07/13/2020,05/13/2020 16:12:13,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327008"",""DHS-20-MT-041-10-01"")",Fiscal Year (FY) 2020 National Dam Safety Program (NDSP) - Region 10,DHS-DHS,Department of Homeland Security - FEMA,290231,4,"Dwight Perkins, Regional Engineer
130—228th St SW
Bothell, WA 98021
Dwight.Perkins@fema.dhs.gov 
425-487-4684 Work",,Dwight.Perkins@fema.dhs.gov,,,05/13/2020,06/15/2020,05/13/2020 11:56:13,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327010"",""72061120RFA00005"")",End Malaria Program,USAID-ZAM,Zambia USAID-Lusaka,38000000,1,"Shachibonde Kasanda
A and A Specialist
Phone 260211357000",,oaa-solicit-lusaka@usaid.gov,,,05/13/2020,06/23/2020,05/13/2020 11:57:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327040"",""DHS-20-MT-041-03-01"")",Fiscal Year (FY) 2020 National Dam Safety Program (NDSP) - Region 3,DHS-DHS,Department of Homeland Security - FEMA,480590,5,"Darlene Messina, CFM
Risk Analysis Branch
Mitigation Division
FEMA Region 3
One Independence Mall
615 Chestnut Street. Sixth Floor 
Philadelphia, PA 19106-4404
Darlene.Messina@fema.dhs.gov
215 873-5303 Work",,Darlene.Messina@fema.dhs.gov,,,05/13/2020,06/15/2020,05/13/2020 11:18:13,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327041"",""DHS-20-MT-041-09-01"")",Fiscal Year (FY) 2020 National Dam Safety Program (NDSP) - Region 9,DHS-DHS,Department of Homeland Security - FEMA,301020,4,"Alison Kearns, Branch Chief 
1111 Broadway, Ste 1200
Oakland, CA 94607 Alison.Kearns@fema.dhs.gov
510-697-6479 Mobile",,Alison.Kearns@fema.dhs.gov,,,05/13/2020,06/15/2020,05/13/2020 11:52:13,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327012"",""PA-20-149"")",HIV Infection of the Central Nervous System (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/13/2020,05/07/2023,05/13/2020 13:05:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327053"",""PA-20-151"")",Eradication of HIV-1 from Central Nervous system Reservoirs (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/13/2020,05/07/2023,05/13/2020 13:11:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327045"",""RFA-CA-20-029"")",Metastasis Research Network (U54 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,7500000,5,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/13/2020,05/28/2021,05/13/2020 14:59:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327033"",""PAS-PODGORICA-FY20-0005"")",COVID-19 Response Fund,DOS-MNE,U.S. Mission to Montenegro,100000,7,"Milena Janketic
Grantor
Phone 0038267613910",,janketicm2@state.gov,,,05/13/2020,06/10/2020,05/13/2020 10:41:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=326998"",""PA-20-206"")",Mentored Patient-Oriented Research Career Development Award (Parent K23  Independent Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,05/12/2020,05/07/2023,05/12/2020 10:59:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327027"",""STI40020GR0025"")",Increasing Financial Integrity and Strengthening Financial Stability and Inclusion in Tajikistan,DOS-TJK,U.S. Mission to Tajikistan,987750,1,DushanbePolEconGrant@state.gov,,DushanbePolEconGrant@state.gov,,,05/12/2020,07/10/2020,05/12/2020 22:22:12,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327003"",""AF-DRC-FY20-02"")",Congo American Language Institute (CALI),DOS-COD,U.S. Mission to the Democratic Republic of Congo,600000,1,U.S. Embassy in Kinshasa Public Affairs Section,,KinshasaPDGrants@state.gov,,,05/12/2020,07/13/2020,05/12/2020 17:41:12,Synopsis 1,
